Time (UTC),Open,High,Low,Close,Volume 
2017.05.10 16:00:20,1.36542,1.36563,1.36542,1.36562,38.35
2017.05.10 16:00:30,1.36563,1.36563,1.36559,1.36562,15.24
2017.05.10 16:00:40,1.36562,1.36571,1.36562,1.36564,39.68
2017.05.10 16:00:50,1.36564,1.36568,1.36556,1.3656,44.46
2017.05.10 16:01:00,1.36559,1.3656,1.36557,1.3656,22.12
2017.05.10 16:01:10,1.36559,1.36562,1.36558,1.36562,10.5
2017.05.10 16:01:20,1.36562,1.36569,1.36562,1.36569,17.86
2017.05.10 16:01:30,1.36569,1.36569,1.36553,1.36553,26.23
2017.05.10 16:01:40,1.36552,1.36559,1.36546,1.36548,32.96
2017.05.10 16:01:50,1.36545,1.36546,1.36541,1.36541,8.12
2017.05.10 16:02:00,1.36543,1.36546,1.36534,1.36539,45.71
2017.05.10 16:02:10,1.36539,1.36542,1.36533,1.36542,22.71
2017.05.10 16:02:20,1.36542,1.36545,1.36541,1.36543,24.59
2017.05.10 16:02:30,1.36542,1.36549,1.36542,1.36548,23.08
2017.05.10 16:02:40,1.36547,1.36547,1.36537,1.36539,17.99
2017.05.10 16:02:50,1.36539,1.36539,1.36538,1.36539,8
2017.05.10 16:03:00,1.36538,1.36539,1.36537,1.36538,9
2017.05.10 16:03:10,1.36534,1.36534,1.36528,1.36528,17.5
2017.05.10 16:03:20,1.36529,1.3653,1.3652,1.3652,14.24
2017.05.10 16:03:30,1.36522,1.36535,1.36522,1.36531,28.98
2017.05.10 16:03:40,1.3653,1.36541,1.36523,1.36539,32.59
2017.05.10 16:03:50,1.36538,1.36541,1.36534,1.36536,27.08
2017.05.10 16:04:00,1.36537,1.36543,1.36537,1.3654,6.5
2017.05.10 16:04:10,1.36539,1.36548,1.36539,1.36547,17.72
2017.05.10 16:04:20,1.36548,1.36549,1.36543,1.36549,29.85
2017.05.10 16:04:30,1.36548,1.36548,1.36531,1.36531,13.24
2017.05.10 16:04:40,1.36533,1.36542,1.36533,1.36534,37.86
2017.05.10 16:04:50,1.36534,1.36539,1.36534,1.36539,8.25
2017.05.10 16:05:00,1.36539,1.36539,1.3653,1.36533,12.49
2017.05.10 16:05:10,1.36531,1.36533,1.36531,1.36532,15.48
2017.05.10 16:05:20,1.3653,1.36536,1.3653,1.36532,28.57
2017.05.10 16:05:30,1.36532,1.36532,1.36528,1.3653,15.62
2017.05.10 16:05:40,1.36528,1.36528,1.36521,1.36522,17.24
2017.05.10 16:05:50,1.36521,1.36528,1.36521,1.36521,25.37
2017.05.10 16:06:00,1.36519,1.36522,1.36519,1.36522,11.5
2017.05.10 16:06:10,1.36523,1.36524,1.36522,1.36524,5.25
2017.05.10 16:06:20,1.36523,1.36531,1.36522,1.36531,19.37
2017.05.10 16:06:30,1.36531,1.36531,1.36531,1.36531,0
2017.05.10 16:06:40,1.36531,1.36532,1.36531,1.36532,2.87
2017.05.10 16:06:50,1.36532,1.3654,1.36531,1.36531,19.61
2017.05.10 16:07:00,1.36531,1.36542,1.36531,1.36541,27.35
2017.05.10 16:07:10,1.3654,1.36553,1.3654,1.36553,16.11
2017.05.10 16:07:20,1.3655,1.36553,1.3655,1.36552,9.98
2017.05.10 16:07:30,1.36549,1.36549,1.3654,1.36542,19.87
2017.05.10 16:07:40,1.36541,1.36549,1.36541,1.36548,16.73
2017.05.10 16:07:50,1.36549,1.3655,1.36544,1.36545,17.62
2017.05.10 16:08:00,1.36545,1.36546,1.36542,1.36544,22.96
2017.05.10 16:08:10,1.36543,1.36551,1.36543,1.36551,23.59
2017.05.10 16:08:20,1.36551,1.3656,1.36551,1.36552,30.08
2017.05.10 16:08:30,1.36552,1.36559,1.36552,1.36559,15.59
2017.05.10 16:08:40,1.36559,1.36568,1.36559,1.36568,20.08
2017.05.10 16:08:50,1.36569,1.36569,1.36556,1.36557,38.25
2017.05.10 16:09:00,1.36557,1.3656,1.36557,1.3656,13.12
2017.05.10 16:09:10,1.3656,1.3656,1.36559,1.36559,3.62
2017.05.10 16:09:20,1.36559,1.36559,1.36559,1.36559,3.5
2017.05.10 16:09:30,1.36558,1.36558,1.36558,1.36558,4
2017.05.10 16:09:40,1.36556,1.36556,1.36542,1.36543,16.12
